Comment,Designator,Footprint,LCSC Part #
0.1uF,DIS_UART GNDH_PAD GNDL_PAD CLDOIN CLDOIN-1 CNEG5V CNEG5V-1,C0603,C235730
0.22uF,CNPN CNPN-1,C0603,C395968
0.47uF,CCB1 CCB1-1 CCB2 CCB2-1 CCB3 CCB3-1 CCB4 CCB4-1 CCB5 CCB5-1 CCB6 CCB6-1 CCB7 CCB7-1 CCB8 CCB8-1 CCB9 CCB9-1 CCB10 CCB10-1 CCS CVC1 CVC1-1 CVC2 CVC2-1 CVC3 CVC3-1 CVC4 CVC4-1 CVC5 CVC5-1 CVC6 CVC6-1 CVC7 CVC7-1 CVC8 CVC8-1 CVC9 CVC9-1,C0603,C2909628
1k,RCOMML RCOMML-1 RTERMH RTERML,R0603,C2765616
1uF,CAVDD CAVDD-1 CDVDD CDVDD-1 CREFHP CREFHP-1 CTSREF CTSREF-1,C0603,C445753
2.2nF,CCOMHN CCOMHP CCOMLN CCOMLP CISOL CISOL1,C0603,C5137562
4.7uF,CCVDD CCVDD-1,C0603,C5252398
10,RCB0 RCB0-1 RCB1 RCB1-1 RCB2 RCB2-1 RCB3 RCB3-1 RCB4 RCB4-1 RCB5 RCB5-1 RCB6 RCB6-1 RCB7 RCB7-1 RCB8 RCB8-1 RCB9 RCB9-1,R1210,C174400
10,RCS1 RCS2,R0603,C323609
10k,RTHRM1 RTHRM1-1 RTHRM2 RTHRM2-1 RTHRM3 RTHRM3-1 RTHRM4 RTHRM4-1 RTHRM5 RTHRM5-1 RTHRM6 RTHRM6-1 RTHRM7 RTHRM7-1 RTHRM8 RTHRM8-1,R0603,C4226066
10nF,CBAT CBAT-1,C0603,C149602
18-225_R6Y5C-A01_3T,LED0 LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED18 LED19,18225R6Y5CA013T,C264438
30,RBAT RBAT-1,R0603,C170726
49,RCOMH RCOMH-1 RCOMH1 RCOMH1-1 RCOML RCOML-1 RCOML1 RCOML1-1 RNPN RNPN-1,R0603,C2692750
100,RCV4 RCV4-1 RCV7 RCV7-1 RVC0 RVC0-1 RVC1 RVC1-1 RVC2 RVC2-1 RVC3 RVC3-1 RVC5 RVC5-1 RVC6 RVC6-1 RVC8 RVC8-1 RVC9 RVC9-1,R0603,C5250752
220pF,CBPH CBPH1 CBPL CBPL1 CCOMLN_BP CCOMLN_BP-1 CCOMLP_BP CCOMLP_BP-1,C0603,C2962048
ESDAVLC6-2BLY,D1 D2,SOT95P255X150-3N,C1977179
PBHV8115X  115,T1,SOT89-BCE,
PBHV8115X  115,T2,SOT89-BCE,
PBQ79656PAPTQ1,IC1 IC2,QFP50P1200X1200X120-65N,
